0,1,2
success,I have learned that success is to be measured not so much by the position that one has reached in life as by the obstacles which he has had to overcome while trying to succeed.,"['Life', 'Obstacles', 'Succeed']"
success,Failure is not an option. Everyone has to succeed.,"['Failure', 'Succeed', 'Option']"
"hope,success","If you wish to succeed in life, make perseverance your bosom friend, experience your wise counselor, caution your elder brother, and hope your guardian genius.","['Life', 'Hope', 'Experience']"
success,There is no success without hardship.,['Hardship']
success,There is only one success - to be able to spend your life in your own way.,"['Life', 'Spend']"
success,If you have no critics you'll likely have no success.,"['Critics', 'Likely']"
success,Success is not forever and failure isn't fatal.,"['Failure', 'Forever']"
success,"God lets you be successful because he trusts you that you will do the right thing with it. Now, does he get disappointed often? All the time, because people get there and they forget how they got it.","['Time', 'God', 'Successful']"
success,"Success is not a good teacher, failure makes you humble.","['Teacher', 'Failure', 'Good']"
success,"The five essential entrepreneurial skills for success: Concentration, Discrimination, Organization, Innovation and Communication.","['Innovation', 'Skills', 'Five']"
success,"Winning isn't everything, but it beats anything in second place.","['Winning', 'Second', 'Beats']"
success,Develop success from failures. Discouragement and failure are two of the surest stepping stones to success.,"['Failure', 'Failures', 'Stepping']"
success,The secret of my success is a two word answer: Know people.,"['Secret', 'Answer', 'Word']"
success,There is little success where there is little laughter.,['Laughter']
success,"Success comes to a writer as a rule, so gradually that it is always something of a shock to him to look back and realize the heights to which he has climbed.","['Realize', 'Writer', 'Heights']"
success,I don't measure my success anymore by the Grammys. I can't because I'll just end up crushed.,"['Measure', 'Grammys', 'Crushed']"
success,"Apple Computer would not have reached its current peak of success if it had feared to roll the dice and launch products that didn't always hit the mark. In the mid-1990s, the company was considered washed up, Steve Jobs had departed, and a string of lackluster product launches unrelated to the company's core business.","['Business', 'Company', 'Product']"
success,Work/life benefits allow companies meaningful ways for responding to their employees' needs; they can be a powerful tool for transforming a workforce and driving a business' success.,"['Business', 'Meaningful']"
success,Our safety at home and the cause of freedom abroad is largely contingent upon our success in Iraq.,"['Home', 'Freedom', 'Safety']"
success,Men judge us by the success of our efforts. God looks at the efforts themselves.,"['God', 'Men', 'Judge']"
success,"There's a lot of blood, sweat, and guts between dreams and success.","['Dreams', 'Blood', 'Sweat']"
success,"Success is different for everyone; everybody defines it in their own way, and that's part of what we do in 'Close Up', finding what it was each person wanted to achieve and what their willingness to sacrifice for that was.","['Sacrifice', 'Achieve', 'Defines']"
success,"I believe success is preparation, because opportunity is going to knock on your door sooner or later but are you prepared to answer that?","['Door', 'Prepared', 'Answer']"
success,"As an outside; don't worry about failure, because failure will take care of itself. Focus on success.","['Failure', 'Focus', 'Care']"
success,Past performance speaks a tremendous amount about one's ability and likelihood for success.,"['Past', 'Ability', 'Amount']"
success,"I passionately believe that's it's not just what you say that counts, it's also how you say it - that the success of your argument critically depends on your manner of presenting it.","['Argument', 'Counts', 'Presenting']"
success,An investment said to have an 80% chance of success sounds far more attractive than one with a 20% chance of failure. The mind can't easily recognize that they are the same.,"['Failure', 'Chance', 'Investment']"
success,Maintaining spirituality and humanism are the keys to success. It's a balance.,"['Balance', 'Humanism', 'Keys']"
success,"Success is always something completely different to people. I feel like I've succeeded, if I'm doing something that makes me happy and I'm not lying to anybody.","['Happy', 'Lying', 'Anybody']"
success,Success is measured by your discipline and inner peace.,"['Peace', 'Discipline', 'Inner']"
success,When you're around enormously successful people you realise their success isn't an accident - it's about work.,"['Work', 'Successful', 'Accident']"
success,It takes 20 years to make an overnight success.,"['Takes', 'Overnight']"
success,The line between failure and success is so fine that we scarcely know when we pass it: so fine that we are often on the line and do not know it.,"['Failure', 'Line', 'Pass']"
success,"If you carefully consider what you want to be said of you in the funeral experience, you will find your definition of success.","['Experience', 'Funeral']"
success,I remember one day sitting at the pool and suddenly the tears were streaming down my cheeks. Why was I so unhappy? I had success. I had security. But it wasn't enough. I was exploding inside.,"['Security', 'Remember', 'Unhappy']"
success,"You may lose your wife, you may lose your dog, your mother may hate you. None of those things matter. What matters is that you achieve success and become free. Then you can do whatever you like.","['Mother', 'Dog', 'Wife']"
success,"Taxation is the price we pay for failing to build a civilized society. The higher the tax level, the greater the failure. A centrally planned totalitarian state represents a complete defeat for the civilized world, while a totally voluntary society represents its ultimate success.","['Failure', 'Society', 'Planned']"
success,I've been surrounded by a lot of people who felt that external success would result in them feeling good about themselves. But it just seems extremely unfulfilling to me.,"['Good', 'Feeling', 'Result']"
success,"When I look in the mirror, I see someone who's happy with how he looks, because I was never one of the handsome Hollywood people. And I've had success as I've gotten older, because I'm able to play characters. I no longer get the girl, but I get the part.","['Happy', 'Girl', 'Mirror']"
success,"I had come to the point when I realized it was unlikely that my film career was going to move beyond a certain level of role. And I was - because I had graphic instances of it - handicapped by the success of Star Trek. A director would say, 'I don't want Jean-Luc Picard in my movie' - and this was compounded by X-Men as well.","['Career', 'Beyond', 'Director']"
success,"We all learn lessons in life. Some stick, some don't. I have always learned more from rejection and failure than from acceptance and success.","['Life', 'Failure', 'Acceptance']"
success,"Creativity is the key to success in the future, and primary education is where teachers can bring creativity in children at that level.","['Education', 'Future']"
"life,success","The greatest trap in our life is not success, popularity or power, but self-rejection.","['Life', 'Power']"
success,"Socialism has no moral justification whatsoever; poor people are not morally superior to rich people, nor are they owed anything by rich people simply because of their lack of success. Charity is not a socialist concept - it is a religious one, an acknowledgment of God's sovereignty over property, a sovereignty the Left utterly rejects.","['God', 'Socialism', 'Charity']"
success,"Every soldier must know, before he goes into battle, how the little battle he is to fight fits into the larger picture, and how the success of his fighting will influence the battle as a whole.","['Veterans Day', 'Battle', 'Fight']"
success,"Focused, hard work is the real key to success. Keep your eyes on the goal, and just keep taking the next step towards completing it. If you aren't sure which way to do something, do it both ways and see which works better.","['Work', 'Focused', 'Eyes']"
success,"Failures, repeated failures, are finger posts on the road to achievement. One fails forward toward success.","['Failure', 'Road', 'Forward']"
success,"Success is a journey, not a destination. The doing is often more important than the outcome.","['Journey', 'Outcome']"
success,Everything you need for better future and success has already been written. And guess what? All you have to do is go to the library.,"['Future', 'Library', 'Guess']"
success,Success and failure are both part of life. Both are not permanent.,"['Life', 'Failure', 'Permanent']"
success,"I know of no single formula for success. But over the years I have observed that some attributes of leadership are universal and are often about finding ways of encouraging people to combine their efforts, their talents, their insights, their enthusiasm and their inspiration to work together.","['Leadership', 'Work', 'Together']"
