0,1,2
"life,wisdom,science",The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.,"['life', 'science', 'wisdom ']"
"life,wisdom,science",Life would be tragic if it weren't funny.,"['Funny', 'Tragic']"
"wisdom,happiness","Count your age by friends, not years. Count your life by smiles, not tears.","['happiness', 'timelessness', 'wisdom ']"
"life,wisdom,science",The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.,"['Science', 'Wisdom', 'Knowledge']"
"wisdom,books","In a good bookroom you feel in some mysterious way that you are absorbing the wisdom contained in all the books through your skin, without even opening them.","['bookroom', 'books', 'libraries', 'wisdom ']"
"wisdom,hope,knowledge,inspiration","Hold fast to dreams,For if dreams dieLife is a broken-winged bird,That cannot fly.","['dreams', 'hope', 'inspiration', 'knowledge', 'wisdom ']"
"life,philosophy,inspiration,wisdom",May you live every day of your life.,"['inspirational', 'life', 'philosophy', 'wisdom ']"
wisdom,Never laugh at live dragons.,"['dragons', 'wisdom ']"
"life,wisdom","The best index to a person's character is how he treats people who can't do him any good, and how he treats people who can't fight back.","['character', 'life', 'wisdom ']"
wisdom,It is the mark of an educated mind to be able to entertain a thought without accepting it.,['wisdom ']
wisdom,"The secret of life, though, is to fall seven times and to get up eight times.",['wisdom ']
"life,inspiration,wisdom,hope,poetry","If you're reading this...Congratulations, you're alive.If that's not something to smile about,then I don't know what is.","['alive', 'congratulations', 'hope', 'humanity', 'inspiration', 'inspirational', 'inspire', 'life', 'poetry', 'smile', 'wisdom ']"
"wisdom,books",Think before you speak. Read before you think.,"['advice-for-daily-living', 'books', 'reader', 'reading', 'speaking', 'thinking', 'wisdom ']"
"inspiration,wisdom",Turn your wounds into wisdom.,"['experience', 'inspirational', 'pain', 'wisdom', 'wounds ']"
"life,wisdom,truth,inspiration",The unexamined life is not worth living.,"['inspiration', 'truth', 'wisdom ']"
"inspiration,philosophy,humor,wisdom",Never let your sense of morals prevent you from doing what is right.,"['humor', 'inspirational', 'philosophy', 'wisdom ']"
"wisdom,knowledge",Any fool can know. The point is to understand.,"['knowledge', 'learning', 'understanding', 'wisdom ']"
wisdom,"The simple things are also the most extraordinary things, and only the wise can see them.",['wisdom ']
