0,1,2
life,"I get very little sleep. But I try to stay constantly busy. My fear is that if I stop working I'll, like, die. So throughout my life I've always tried to remain busy, and I sort of know no other way. I think if my heart rate slowed it would affect my constitution, strangely. I've been trained to do that.","['Fear', 'Sleep', 'Heart']"
life,"Who will tell whether one happy moment of love or the joy of breathing or walking on a bright morning and smelling the fresh air, is not worth all the suffering and effort which life implies.","['Love', 'Morning', 'Moment']"
"life,happiness",You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.,"['attributed-no-source', 'happiness', 'meaning-of-life ']"
life,"Life's like a play: it's not the length, but the excellence of the acting that matters.","['Acting', 'Excellence', 'Matters']"
life,"Life is growth. If we stop growing, technically and spiritually, we are as good as dead.","['Good', 'Growth', 'Dead']"
life,"We must be willing to let go of the life we have planned, so as to have the life that is waiting for us.","['Waiting', 'Planned', 'Willing']"
life,There is a very fine line between loving life and being greedy for it.,"['Line', 'Loving', 'Greedy']"
life,"Nearly all the best things that came to me in life have been unexpected, unplanned by me.","['Best', 'Unexpected', 'Came']"
"life,wisdom,science",The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.,"['life', 'science', 'wisdom ']"
life,I did not direct my life. I didn't design it. I never made decisions. Things always came up and made them for me. That's what life is.,"['Design', 'Decisions', 'Came']"
"life,love",Life without love is like a tree without blossoms or fruit.,"['Life', 'Tree', 'Fruit']"
life,Life is a horizontal fall.,"['Fall', 'Horizontal']"
life,Any idiot can face a crisis - it's day to day living that wears you out.,"['Crisis', 'Living', 'Face']"
life,I arise in the morning torn between a desire to improve the world and a desire to enjoy the world. This makes it hard to plan the day.,"['Morning', 'Plan', 'Enjoy']"
"hope,life",Maybe all one can do is hope to end up with the right regrets.,"['Hope', 'Regrets', 'Maybe']"
"life,wisdom,science",Life would be tragic if it weren't funny.,"['Funny', 'Tragic']"
life,"Not life, but good life, is to be chiefly valued.","['Good', 'Valued', 'Chiefly']"
life,The greatest pleasure of life is love.,"['Love', 'Greatest', 'Pleasure']"
life,"Let life happen to you. Believe me: life is in the right, always.",['Happen']
life,"For the happiest life, days should be rigorously planned, nights left open to chance.","['Chance', 'Planned', 'Days']"
life,Sometimes I can hear my bones straining under the weight of all the lives I'm not living.,['life ']
"arts,life",Life is the art of drawing sufficient conclusions from insufficient premises.,"['Art', 'Drawing', 'Premises']"
life,Life is a lively process of becoming.,"['Process', 'Becoming', 'Lively']"
"arts,life","Life is not an exact science, it is an art.","['Art', 'Science', 'Exact']"
life,Life is made up of marble and mud.,"['Mud', 'Marble']"
"life,death","Death ends a life, not a relationship.","['death', 'life ']"
life,Every man dies. Not every man really lives.,"['Lives', 'Dies']"
life,"I decided, very early on, just to accept life unconditionally; I never expected it to do anything special for me, yet I seemed to accomplish far more than I had ever hoped. Most of the time it just happened to me without my ever seeking it.","['Time', 'Accept', 'Special']"
life,"When I hear somebody sigh, 'Life is hard,' I am always tempted to ask, 'Compared to what?'","['Hear', 'Ask', 'Sigh']"
