0,1,2
relationship,Indifference and neglect often do much more damage than outright dislike.,"['humanity', 'kindness', 'relationships ']"
relationship,"The meeting of two personalities is like the contact of two chemical substances: if there is any reaction, both are transformed.","['chemistry', 'relationships ']"
"love,relationship","A guy and a girl can be just friends, but at one point or another, they will fall for each other...Maybe temporarily, maybe at the wrong time, maybe too late, or maybe forever","['dave-matthews', 'friends', 'love', 'relationships ']"
"love,relationship","I think you still love me, but we can’t escape the fact that I’m not enough for you. I knew this was going to happen. So I’m not blaming you for falling in love with another woman. I’m not angry, either. I should be, but I’m not. I just feel pain. A lot of pain. I thought I could imagine how much this would hurt, but I was wrong.","['breakup', 'infidelity', 'love', 'pain', 'relationships ']"
"inspiration,relationship","You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.","['affection', 'communication', 'heartwarming', 'human-connections', 'human-nature', 'humanism', 'humanity', 'inspirational', 'inspirational-life', 'inspirational-love', 'inspirational-quotes', 'relationships ']"
"love,relationship","For the two of us, home isn't a place. It is a person. And we are finally home.","['home', 'love', 'relationships', 'touching ']"
"love,relationship","Man may have discovered fire, but women discovered how to play with it.","['love', 'relationships ']"
relationship,"I mean, if the relationship can't survive the long term, why on earth would it be worth my time and energy for the short term?","['energy', 'nicholas-sparks', 'relationships', 'the-last-song ']"
"love,relationship","Well, it seems to me that the best relationships - the ones that last - are frequently the ones that are rooted in friendship. You know, one day you look at the person and you see something more than you did the night before. Like a switch has been flicked somewhere. And the person who was just a friend is... suddenly the only person you can ever imagine yourself with.","['friendship', 'love', 'men', 'relationships', 'women ']"
relationship,"When you stop expecting people to be perfect, you can like them for who they are.","['expectations', 'people', 'perfection', 'relationships ']"
relationship,"Why is it,""he said, one time, at the subway entrance, ""I feel I've known you so many years?""""Because I like you,""she said, ""and I don't want anything from you.","['friendship', 'relationships ']"
"humor,relationship,funny,mind","I consider conversations with people to be mind exercises, but I don't want to pull a muscle, so I stretch a lot. That's why I'm constantly either rolling my eyes or yawning.","['absurd', 'communication', 'conversations', 'funny', 'humor', 'mind', 'people', 'relationships', 'sarcasm', 'sarcastic ']"
relationship,Every man I meet wants to protect me. I can't figure out what from.,"['chivalry', 'men', 'protection', 'relationships', 'women ']"
relationship,There is greatness in doing something you hate for the sake of someone you love.,['relationships ']
"love,relationship","If conversation was the lyrics, laughter was the music, making time spent together a melody that could be replayed over and over without getting stale.","['love', 'nicholas-sparks', 'relationships', 'the-choice ']"
relationship,It's no good pretending that any relationship has a future if your record collections disagree violently or if your favorite films wouldn't even speak to each other if they met at a party.,"['films', 'music', 'relationships ']"
"love,relationship","The most painful thing is losing yourself in the process of loving someone too much, and forgetting that you are special too.","['love', 'pain', 'relationships', 'self ']"
relationship,"I know I am but summer to your heart, and not the full four seasons of the year.","['heart', 'infidelity', 'relationships', 'seasons', 'summer ']"
relationship,I suffer from girlnextdooritis where the guy is friends with you and that's it.,['relationships ']
"humor,relationship",Maybe our girlfriends are our soulmates and guys are just people to have fun with.,"['dating', 'humor', 'relationships', 'soulmates ']"
"love,relationship,romance","Come sleep with me: We won't make Love,Love will make us.","['love', 'poem', 'relationships', 'romance ']"
"life,love,inspiration,relationship",I want to be in a relationship where you telling me you love me is just a ceremonious validation of what you already show me.,"['action', 'being-loved', 'inspirational', 'life', 'love', 'relationships ']"
"love,truth,relationship","To be fully seen by somebody, then, and be loved anyhow - this is a human offering that can border on miraculous.","['acceptance', 'being-loved', 'love', 'marriage', 'relationships', 'truth ']"
"love,inspiration,relationship,romance,funny","I’ve been fighting to be who I am all my life. What’s the point of being who I am, if I can’t have the person who was worth all the fighting for?","['fighting', 'funny', 'humour', 'husband', 'inspirational', 'love', 'lover', 'relationships', 'romance', 'spiritual', 'sweet', 'wife ']"
"love,relationship","Holding Eleanor's hand was like holding a butterfly. Or a heartbeat. Like holding something complete, and completely alive.","['friendship', 'high-school', 'love', 'relationships', 'sweet', 'teenage-love ']"
"humor,relationship","I want to grow a flower for every time someone tells me “F*** you.” Then I’ll go back to that person and pin the flower on their lapel in a gesture of friendship. And while they are looking down on it in astonishment, I’ll bunch up my knuckles and punch them in the face.","['flowers', 'friendship', 'hilarious', 'humor', 'punch', 'ravings', 'relationships ']"
relationship,"Man, when you lose your laugh you lose your footing.",['relationships ']
relationship,"Every couple needs to argue now and then. Just to prove that the relationship is strong enough to survive. Long-term relationships, the ones that matter, are all about weathering the peaks and the valleys.",['relationships ']
"life,relationship",One of my main regrets in life is giving considerable thought to inconsiderate people.,"['considerate', 'inconsiderate', 'inconsiderate-people', 'life', 'people', 'regret', 'regrets', 'relationships ']"
