0,1,2
"writing,positive","you can, you should, and if you’re brave enough to start, you will.","['bravery', 'positive-thinking', 'self-empowerment', 'writing ']"
positive,"We can complain because rose bushes have thorns, or rejoice because thorn bushes have roses.","['attitude', 'perspective', 'positive-thinking ']"
"inspiration,positive","Get going. Move forward. Aim High. Plan a takeoff. Don't just sit on the runway and hope someone will come along and push the airplane. It simply won't happen. Change your attitude and gain some altitude. Believe me, you'll love it up here.","['ambition', 'donald-trump', 'inspiration', 'motivation', 'positive-thinking', 'positivity', 'work', 'work-ethic ']"
positive,Some people grumble that roses have thorns; I am grateful that thorns have roses.,"['complaints', 'glass-half-full', 'gratitude', 'optimism', 'perspective', 'pessimism', 'positive-thinking', 'roses', 'thorns ']"
"love,relationship,positive",Sometimes it takes a heartbreak to shake us awake & help us see we are worth so much more than we're settling for.,"['breakups', 'dating', 'heartbreak', 'holding-out-for-the-best', 'letting-go', 'love', 'moving-on', 'not-settling', 'positive-thinking', 'relationships', 'settling', 'the-single-woman ']"
"love,relationship,positive","A busy, vibrant, goal-oriented woman is so much more attractive than a woman who waits around for a man to validate her existence.","['being-single', 'dating', 'goals', 'hard-to-get', 'holding-out-for-the-best', 'love', 'loving-yourself', 'not-settling', 'playing-hard-to-get', 'positive-thinking', 'relationships', 'single', 'single-life', 'single-woman', 'singleness', 'standards', 'the-single-woman', 'validation ']"
"love,relationship,positive","Hope for love, pray for love, wish for love, dream for love…but don’t put your life on hold waiting for love.","['being-single', 'dating', 'finding-love', 'living-life-to-the-fullest', 'living-your-best-life', 'love', 'not-settling', 'positive-thinking', 'praying-for-love', 'relationships', 'single', 'single-life', 'single-woman', 'singleness', 'the-single-woman ']"
positive,"Minds are like flowers, they only open when the time is right.","['cosmic', 'cosmic-ordering', 'law-of-attraction', 'mind-body-spirit', 'mind-power', 'money', 'new-age', 'new-thought', 'positive-thinking', 'self-help', 'self-help-book', 'self-improvement', 'stephen-richards', 'wealth', 'wealth-creation ']"
positive,You are essentially who you create yourself to be and all that occurs in your life is the result of your own making.,"['initiative', 'mind-body-spirit', 'mind-power', 'motivational', 'new-thought', 'positive-thinking', 'self-empowerment', 'self-help', 'self-improvement', 'self-motivation', 'wealth', 'wealth-creation', 'worthy ']"
"love,relationship,positive",One of the best times for figuring out who you are & what you really want out of life? Right after a break-up.,"['breaking-up', 'breakups', 'dating', 'finding-yourself', 'fresh-starts', 'letting-go', 'love', 'loving-yourself', 'moving-on', 'new-beginnings', 'not-settling', 'positive-thinking', 'relationships', 'self-improvement', 'the-end', 'the-single-woman ']"
"love,happiness,faith,hope,positive","Dance. Smile. Giggle. Marvel. TRUST. HOPE. LOVE. WISH. BELIEVE. Most of all, enjoy every moment of the journey, and appreciate where you are at this moment instead of always focusing on how far you have to go.","['appreciation', 'attitude', 'believe', 'counting-your-blessings', 'dance', 'dancing', 'faith', 'faith-in-yourself', 'gratitude', 'happiness', 'happy-life', 'hope', 'journey-of-life', 'live-in-the-moment', 'living-a-happy-life', 'living-life-to-the-fullest', 'love', 'positive-thinking', 'seizing-the-day', 'smile', 'the-here-and-now', 'the-present', 'the-single-woman', 'trust', 'wish', 'your-journey ']"
"life,wisdom,faith,hope,quotes,inspiration,success,positive,books","If you have a dream, don’t just sit there. Gather courage to believe that you can succeed and leave no stone unturned to make it a reality.","['attitude', 'authors', 'books', 'coaching', 'connect', 'counseling', 'courage', 'dare', 'daring', 'determination', 'dreams', 'faith', 'famous', 'goals', 'hope', 'idea', 'inspiration', 'inspire', 'judge', 'leadership', 'life', 'motivation', 'motivator', 'never-give-up', 'passion', 'positive-thinking', 'promo', 'publishing', 'quotes', 'self-confidence', 'self-esteem', 'success', 'successful', 'triumph', 'victory', 'willpower', 'wisdom', 'words', 'you-can-do-it ']"
positive,There is nothing more beautiful than someone who goes out of their way to make life beautiful for others.,"['be-the-change', 'beauty', 'helping-hand', 'helping-others', 'helping-people', 'inner-beauty', 'making-a-difference', 'positive-thinking', 'setting-an-example', 'true-beauty ']"
"life,positive","If you learn to really sit with loneliness and embrace it for the gift that it is…an opportunity to get to know YOU, to learn how strong you really are, to depend on no one but YOU for your happiness…you will realize that a little loneliness goes a LONG way in creating a richer, deeper, more vibrant and colorful YOU.","['alone', 'aloneness', 'being-yourself', 'courage', 'embracing-who-you-are', 'faith-in-yourself', 'feeling-alone', 'finding-yourself', 'gifts', 'independence', 'journey', 'knowing-yourself', 'life', 'loneliness', 'lonely', 'loving-yourself', 'positive-thinking', 'self-love', 'self-worth', 'strength ']"
"love,positive",Two things you will never have to chase: True friends & true love.,"['chasing', 'friends', 'friendship', 'knowing-your-worth', 'love', 'not-settling', 'positive-thinking', 'self-worth', 'stop-the-chase', 'the-single-woman', 'true-friends', 'true-love ']"
positive,"The world’s bumper sticker reads: Life sucks, and then you die. Perhaps Christian bumper stickers should read: Life sucks, but then you find hope and you can’t wait to die.","['bumper-sticker', 'christianity', 'pessimism', 'positive-thinking ']"
"faith,positive","Sometimes when you lose your way, you find YOURSELF.","['bigger-picture', 'destination', 'destiny', 'faith', 'faith-in-yourself', 'find-yourself', 'finding-yourself', 'getting-lost', 'greater-calling', 'lessons', 'lose-your-way', 'losing-your-way', 'mistakes', 'positive-thinking', 'trusting-your-journey', 'wandering', 'wilderness', 'wrong-turn ']"
positive,The discontent and frustration that you feel is entirely your own creation.,"['law-of-attraction', 'mind-body-spirit', 'mind-power', 'money', 'motivational', 'new-age', 'new-thought', 'positive-thinking', 'self-empowerment', 'self-help', 'self-help-book', 'self-improvement', 'self-motivation', 'stephen-richards', 'wealth', 'wealth-creation', 'worthy ']"
"faith,purpose,positive","Realize that if a door closed, it’s because what was behind it wasn’t meant for you.","['closed-door', 'destiny', 'everything-happens-for-a-reason', 'faith', 'meant-to-be', 'new-beginnings', 'open-doors', 'opportunity', 'positive-thinking', 'purpose', 'the-end', 'trust', 'trusting-the-journey ']"
"life,relationship,positive",Single is no longer a lack of options – but a choice. A choice to refuse to let your life be defined by your relationship status but to live every day Happily and let your Ever After work itself out.,"['being-single', 'choice', 'defining-your-life', 'happily-ever-after', 'happy-ending', 'happy-ever-after', 'lack-of-options', 'life', 'loving-yourself', 'not-settling', 'positive-thinking', 'relationship-status', 'relationships', 'single', 'single-ladies', 'single-lady', 'single-life', 'single-woman', 'single-women', 'singleness', 'the-single-woman ']"
