0,1,2
"life,happiness",You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.,"['attributed-no-source', 'happiness', 'meaning-of-life ']"
"inspiration,happiness",Happiness is not something ready made. It comes from your own actions.,"['happiness', 'inspirational ']"
"wisdom,happiness","Count your age by friends, not years. Count your life by smiles, not tears.","['happiness', 'timelessness', 'wisdom ']"
"life,happiness",Every man has his secret sorrows which the world knows not; and often times we call a man cold when he is only sad.,"['coldness', 'depression', 'happiness', 'life', 'sad', 'sadness', 'sorrow ']"
"success,happiness","When a small child, I thought that success spelled happiness. I was wrong, happiness is like a butterfly which appears and delights us for one brief moment, but soon flits away.","['Happiness', 'Butterfly', 'Small']"
happiness,"If more of us valued food and cheer and song above hoarded gold, it would be a merrier world.","['food', 'happiness ']"
"life,happiness",The most important thing is to enjoy your life—to be happy—it's all that matters.,"['happiness', 'life ']"
"humor,happiness",Happiness is a warm puppy.,"['animals', 'dogs', 'happiness', 'humor', 'puppies ']"
happiness,You cannot protect yourself from sadness without protecting yourself from happiness.,"['happiness', 'sadness ']"
"hope,love,happiness","They say a person needs just three things to be truly happy in this world: someone to love, something to do, and something to hope for.","['happiness', 'hope', 'joy', 'love', 'wishing ']"
happiness,No medicine cures what happiness cannot.,['happiness ']
"life,inspiration,happiness",It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.,"['attitude', 'contentment', 'happiness', 'inspirational', 'life ']"
"humor,happiness","Happiness is having a large, loving, caring, close-knit family in another city.","['family', 'happiness', 'humor ']"
happiness,The only way to find true happiness is to risk being completely cut open.,"['chance', 'happiness', 'risk ']"
happiness,Let us be grateful to the people who make us happy; they are the charming gardeners who make our souls blossom.,"['gratitude', 'happiness ']"
happiness,"You can't be happy unless you're unhappy sometimes"".","['contrast', 'happiness', 'unhappiness ']"
"inspiration,happiness,hope","HopeSmiles from the threshold of the year to come, Whispering 'it will be happier'...","['happiness', 'hope', 'inspirational', 'new-year ']"
"love,happiness","Of all forms of caution, caution in love is perhaps the most fatal to true happiness.","['happiness', 'love ']"
happiness,Sanity and happiness are an impossible combination.,"['happiness', 'sanity ']"
"hope,love,happiness","They say a person needs just three things to be truly happy in this world: someone to love, something to do, and something to hope for.","['Love', 'Happy', 'Three']"
"life,happiness",I've got nothing to do today but smile.,"['happiness', 'life ']"
"happiness,success","Success is getting what you want, happiness is wanting what you get","['happiness', 'success ']"
"life,happiness","The more you praise and celebrate your life, the more there is in life to celebrate.","['Birthday', 'Celebrate', 'Praise']"
"love,inspiration,happiness",Happiness [is] only real when shared,"['family', 'happiness', 'inspirational', 'love', 'marriage ']"
"inspiration,humor,happiness,success",The worst part of success is trying to find someone who is happy for you.,"['friendship', 'happiness', 'humor', 'inspirational', 'jealousy', 'success ']"
"love,happiness",Happiness is holding someone in your arms and knowing you hold the whole world.,"['happiness', 'love ']"
happiness,"Learn to value yourself, which means: fight for your happiness.","['fight', 'happiness', 'learn ']"
happiness,"I felt my lungs inflate with the onrush of scenery—air, mountains, trees, people. I thought, ""This is what it is to be happy.","['ecstasy', 'happiness', 'nature ']"
happiness,It's been my experience that you can nearly always enjoy things if you make up your mind firmly that you will.,['happiness ']
"life,inspiration,happiness,success","Letting go means to come to the realization that some people are a part of your history, but not a part of your destiny.","['destiny', 'happiness', 'history', 'inspirational', 'let-go', 'letting-go', 'life', 'motivational', 'moving-on', 'success ']"
happiness,I'm happy. Which often looks like crazy.,['happiness ']
"life,inspiration,happiness","please believe that things are good with me, and even when they're not, they will be soon enough. And i will always believe the same about you.","['happiness', 'inspirational', 'life ']"
happiness,"When the first baby laughed for the first time, its laugh broke into a thousand pieces, and they all went skipping about, and that was the beginning of fairies.",['happiness ']
happiness,"It's like Tolstoy said. Happiness is an allegory, unhappiness a story.","['fiction', 'happiness', 'stories ']"
happiness,All happiness depends on courage and work.,"['courage', 'happiness', 'work ']"
happiness,The best way to cheer yourself is to try to cheer someone else up.,['happiness ']
"inspiration,happiness","The grand essentials to happiness in this life are something to do, something to love, and something to hope for.","['happiness', 'inspirational', 'misattributed-to-chalmers', 'misattributed-to-joseph-addison', 'misattributed-to-kant', 'misattributed-tom-bodett', 'widely-misattributed ']"
happiness,"Let no one ever come to you without leaving better and happier. Be the living expression of God's kindness: kindness in your face, kindness in your eyes, kindness in your smile.",['happiness ']
happiness,"I think and think and think, I‘ve thought myself out of happiness one million times, but never once into it.","['happiness', 'thinking', 'wisedom ']"
happiness,"I am not proud, but I am happy; and happiness blinds, I think, more than pride.","['happiness', 'pride ']"
"life,happiness,inspiration,success",Cry. Forgive. Learn. Move on. Let your tears water the seeds of your future happiness.,"['cry', 'forgive', 'happiness', 'inspiration', 'learn', 'letting-go', 'life', 'motivational', 'moving-on', 'seeds', 'success', 'tears', 'water ']"
happiness,"So we shall let the reader answer this question for himself: who is the happier man, he who has braved the storm of life and lived or he who has stayed securely on shore and merely existed?","['gonzo', 'happiness', 'risk ']"
happiness,"And hand in hand, on the edge of the sand, They danced by the light of the moon.","['dance', 'happiness', 'nursery-rhymes ']"
happiness,Happiness quite unshared can scarcely be called happiness; it has no taste.,"['happiness', 'sharing ']"
happiness,I must learn to be content with being happier than I deserve.,['happiness ']
happiness,Man only likes to count his troubles; he doesn't calculate his happiness.,"['happiness', 'man', 'trouble ']"
happiness,The advantage of a bad memory is that one enjoys several times the same good things for the first time.,"['forgetfulness', 'forgetting', 'happiness', 'memory ']"
happiness,One of the keys to happiness is a bad memory.,"['bad-memory', 'forgiveness', 'happiness', 'memory ']"
happiness,Happiness depends upon ourselves.,['happiness ']
"life,happiness",Now and then it's good to pause in our pursuit of happiness and just be happy.,"['happiness', 'life ']"
"life,happiness","I felt once more how simple and frugal a thing is happiness: a glass of wine, a roast chestnut, a wretched little brazier, the sound of the sea. Nothing else.","['happiness', 'life', 'sea ']"
"love,happiness","I know that's what people say-- you'll get over it. I'd say it, too. But I know it's not true. Oh, youll be happy again, never fear. But you won't forget. Every time you fall in love it will be because something in the man reminds you of him.","['happiness', 'lost-love', 'love ']"
"life,happiness,inspiration","It was only a sunny smile, and little it cost in the giving, but like morning light it scattered the night and made the day worth living.","['happiness', 'inspiration', 'life ']"
happiness,I'd far rather be happy than right any day.,"['happiness', 'rightness ']"
happiness,The happiness of your life depends upon the quality of your thoughts.,['happiness ']
happiness,Happiness makes up in height for what it lacks in length.,['happiness ']
"love,happiness,relationship","People like to say love is unconditional, but it's not, and even if it was unconditional, it's still never free. There's always an expectation attached. They always want something in return. Like they want you to be happy or whatever and that makes you automatically responsible for their happiness because they won't be happy unless you are ... I just don't want that responsibility.","['happiness', 'love', 'relationships', 'responsibility', 'unconditional-love ']"
happiness,"Generally speaking, the most miserable people I know are those who are obsessed with themselves; the happiest people I know are those who lose themselves in the service of others...By and large, I have come to see that if we complain about life, it is because we are thinking only of ourselves.",['happiness ']
"life,inspiration,happiness,success","Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them.","['ability', 'action', 'gratitude', 'happiness', 'inspirational', 'life', 'motivational', 'moving-forward', 'problems', 'success ']"
"inspiration,happiness","Happiness is not the absence of problems, it's the ability to deal with them.","['empowerment', 'happiness', 'inspirational', 'life-lessons', 'motivational', 'problems ']"
happiness,"Happiness is an accident of nature, a beautiful and flawless aberration.",['happiness ']
happiness,"Maybe the truth is, there's a little bit of loser in all of us. Being happy isn't having everything in your life be perfect. Maybe it's about stringing together all the little things.","['bailey', 'happiness', 'loser', 'sisterhood ']"
