0,1,2
truth,Perhaps one did not want to be loved so much as to be understood.,['truth ']
truth,Facts do not cease to exist because they are ignored.,"['fact', 'ignorance', 'truth ']"
"truth,faith","I believe in everything until it's disproved. So I believe in fairies, the myths, dragons. It all exists, even if it's in your mind. Who's to say that dreams and nightmares aren't as real as the here and now?","['beatles', 'dragons', 'dreamers', 'dreaming', 'dreams', 'fairies', 'faith', 'mythology', 'nightmares', 'reality', 'truth ']"
truth,"Here's all you have to know about men and women: women are crazy, men are stupid. And the main reason women are crazy is that men are stupid.","['crazy', 'men', 'stupid', 'truth', 'women ']"
"love,truth","Above all, don't lie to yourself. The man who lies to himself and listens to his own lie comes to a point that he cannot distinguish the truth within him, or around him, and so loses all respect for himself and for others. And having no respect he ceases to love.","['lies', 'love', 'respect', 'self-deception', 'truth ']"
"truth,death",A thing is not necessarily true because a man dies for it.,"['belief', 'death', 'ideals', 'martyr', 'truth ']"
truth,In a time of deceit telling the truth is a revolutionary act.,['truth ']
truth,"Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing ever happened.",['truth ']
truth,"Man is least himself when he talks in his own person. Give him a mask, and he will tell you the truth.",['truth ']
"life,wisdom,truth,inspiration",The unexamined life is not worth living.,"['inspiration', 'truth', 'wisdom ']"
truth,I lie to myself all the time. But I never believe me.,"['lies', 'lying', 'self-deception', 'truth ']"
"life,truth",Our truest life is when we are in dreams awake.,"['Dreams', 'Awake', 'Truest']"
truth,"Never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed. If people all over the world...would do this, it would change the earth.","['advocacy', 'dissent', 'protest', 'truth', 'truth-telling ']"
"truth,books","Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn't.","['books', 'truth ']"
"life,humor,truth","Tell the truth, or someone will tell it for you.","['humor', 'life', 'memoir', 'truth ']"
truth,The truth does not change according to our ability to stomach it.,['truth ']
"truth,books",Books are mirrors: you only see in them what you already have inside you.,"['books', 'reading', 'truth ']"
truth,Art is the lie that enables us to realize the truth.,"['art', 'truth ']"
"life,truth","The more I see, the less I know for sure.","['beatles', 'life', 'perception', 'truth ']"
"inspiration,truth","The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.","['freedom', 'individuality', 'inspirational', 'mask', 'personality', 'revolution', 'truth ']"
"life,inspiration,truth,hope","The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.","['hope', 'inspiration', 'inspirational', 'life', 'truth ']"
truth,"Rather than love, than money, than fame, give me truth.","['truth', 'values ']"
"life,inspiration,truth","The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.","['forgiveness', 'inspirational', 'letting-go', 'life', 'motivational', 'moving-forward', 'truth ']"
